isbn,likes,rating,title,user_id,user_name
1616201347,63,4,An American Marriage,1826682,Trish
1616201347,63,4,An American Marriage,27261312,Shannon
1616201347,56,4,An American Marriage,1384944,Ron Charles
1616201347,49,4,An American Marriage,12656534,Zoeytron
1616201347,50,3,An American Marriage,2172096,Barbara
1616201347,52,4,An American Marriage,2947323,Dianne
1616201347,47,4,An American Marriage,22600410,Cathrine ☯️
1616201347,44,4,An American Marriage,8904243,Jennifer Blankfein
1616201347,45,4,An American Marriage,50735099,MaryBeth's Bookshelf
1616201347,50,5,An American Marriage,15493045,Lisa
1616201347,44,4,An American Marriage,5922426,Bam
1616201347,41,3,An American Marriage,3965659,Rachel
1616201347,41,2,An American Marriage,28266634,Liza Fireman
1616201347,40,5,An American Marriage,686207,Joshunda Sanders
1616201347,40,5,An American Marriage,53495766,Paul Lockman
1616201347,39,2,An American Marriage,51073200,Kimya Nilsen
1616201347,39,5,An American Marriage,32053623,La Tonya Jordan
1616201347,37,4,An American Marriage,3144945,Alex
1616201347,36,4,An American Marriage,165962,Ali Edwards
1616201347,35,4,An American Marriage,9469263,Tooter
1616201347,39,4,An American Marriage,399175,Stacey
1616201347,37,3,An American Marriage,24816039,Umut Reviews
1616201347,34,4,An American Marriage,5009669,Tina
1616201347,32,3,An American Marriage,41788446,Hannah
1616201347,32,5,An American Marriage,24415743,Rachel
1616201347,32,4,An American Marriage,29843800,Bianca
1616201347,32,2,An American Marriage,1903072,Peter Boyle
1616201347,31,4,An American Marriage,7262060,Diane Barnes
1616201347,32,4,An American Marriage,47627265,Kaylin (The Re-Read Queen)
1616201347,31,2,An American Marriage,6354112,Perry
1616201347,32,2,An American Marriage,39893246,Nazanin
1616201347,31,3,An American Marriage,2018505,Thomas
1616201347,30,3,An American Marriage,6449756,Sonja Arlow
1616201347,30,2,An American Marriage,7254722,Theresa
1616201347,39,2,An American Marriage,23253765,Kamil
1616201347,29,4,An American Marriage,2682140,Brown Girl Reading
1616201347,28,4,An American Marriage,55299343,Fuzaila
1616201347,28,3,An American Marriage,58321492,Sara
1616201347,28,1,An American Marriage,60133552,Karolina
1616201347,32,5,An American Marriage,1213607,Julie Christine
1616201347,28,5,An American Marriage,47153997,Resh (The Book Satchel)
1616201347,28,4,An American Marriage,54835325,Kat
1616201347,27,3,An American Marriage,32318315,Hugh
1616201347,28,3,An American Marriage,5149179,Betsy Robinson
1616201347,27,3,An American Marriage,59050228,Meike
1616201347,27,5,An American Marriage,32379875,Marjorie
1616201347,27,5,An American Marriage,6450088,Tania
1616201347,26,3,An American Marriage,5909003,Claire
1616201347,26,4,An American Marriage,39134508,Kathleen
1616201347,26,5,An American Marriage,18967379,Bookphenomena (Micky)
1616201347,26,5,An American Marriage,4438781,Anna
1616201347,27,4,An American Marriage,8789819,Myrna
1616201347,29,4,An American Marriage,14674200,Gabriella
1616201347,26,4,An American Marriage,1401146,Keyona
1616201347,26,5,An American Marriage,4948946,Yalonda
1616201347,24,3,An American Marriage,1269784,Monica **can't read fast enough**
1616201347,24,5,An American Marriage,43107057,Read By RodKelly
1616201347,28,4,An American Marriage,3482226,Sarah
1616201347,23,5,An American Marriage,798978,Barbara
1616201347,23,5,An American Marriage,42467055,Katie Taylor
1616201347,23,3,An American Marriage,61240893,Tamara
1616201347,22,2,An American Marriage,3250759,Paul Fulcher
1616201347,24,4,An American Marriage,5550397,Britany
1616201347,22,1,An American Marriage,777926,Dawnelle Wilkie
1616201347,21,5,An American Marriage,8037048,Erin Glover
1616201347,21,3,An American Marriage,54731819,Chris
1616201347,22,5,An American Marriage,9750143,BookOfCinz
1616201347,21,4,An American Marriage,17237503,Eilonwy
1616201347,21,5,An American Marriage,13650342,Kate ☀️ Olson
1616201347,21,1,An American Marriage,1325700,Homeschoolmama
