,author,mean_rating,num_ratings,num_reviews,title,url
144,Leni Zumas,3.70,"13,549 ratings","2,300 reviews",Red Clocks,https://www.goodreads.com/book/show/35099035-red-clocks?from_choice=true
145,Nnedi Okorafor,4.10,"8,592 ratings","1,179 reviews",The Night Masquerade,https://www.goodreads.com/book/show/34386617-the-night-masquerade?from_choice=true
146,James S.A. Corey,4.35,"21,890 ratings","1,546 reviews",Persepolis Rising,https://www.goodreads.com/book/show/33357930-persepolis-rising?from_choice=true
147,Martha Wells,4.28,"16,748 ratings","2,024 reviews",Artificial Condition,https://www.goodreads.com/book/show/36223860-artificial-condition?from_choice=true
148,Charles Soule,3.71,"7,240 ratings",979 reviews,The Oracle Year,https://www.goodreads.com/book/show/35230913-the-oracle-year?from_choice=true
149,John Scalzi,4.01,"11,276 ratings","1,357 reviews",Head On,https://www.goodreads.com/book/show/35018901-head-on?from_choice=true
150,Becky Chambers,4.16,"10,567 ratings","1,862 reviews",Record of a Spaceborn Few,https://www.goodreads.com/book/show/36220698-record-of-a-spaceborn-few?from_choice=true
151,Timothy Zahn,3.91,"7,017 ratings",815 reviews,Alliances,https://www.goodreads.com/book/show/36385830-alliances?from_choice=true
152,Ling Ma,3.84,"12,235 ratings","2,002 reviews",Severance,https://www.goodreads.com/book/show/36348525-severance?from_choice=true
153,Mary Robinette Kowal,4.16,"7,149 ratings","1,369 reviews",The Calculating Stars,https://www.goodreads.com/book/show/33080122-the-calculating-stars?from_choice=true
154,Tade Thompson,3.82,"3,184 ratings",641 reviews,Rosewater,https://www.goodreads.com/book/show/38362809-rosewater?from_choice=true
155,Liu Cixin,3.85,"2,677 ratings",348 reviews,Ball Lightning,https://www.goodreads.com/book/show/32076670-ball-lightning?from_choice=true
156,Catherynne M. Valente,3.53,"6,209 ratings","1,656 reviews",Space Opera,https://www.goodreads.com/book/show/35297390-space-opera?from_choice=true
157,Tom Sweterlitsch,3.96,"5,736 ratings",912 reviews,The Gone World,https://www.goodreads.com/book/show/33413556-the-gone-world?from_choice=true
158,Yoon Ha Lee,4.19,"2,792 ratings",375 reviews,Revenant Gun,https://www.goodreads.com/book/show/36373688-revenant-gun?from_choice=true
159,John Scalzi,4.24,"9,941 ratings","1,121 reviews",The Consuming Fire,https://www.goodreads.com/book/show/37534901-the-consuming-fire?from_choice=true
160,Stephen King,3.70,"43,436 ratings","6,320 reviews",Elevation,https://www.goodreads.com/book/show/38355410-elevation?from_choice=true
161,Zoje Stage,3.65,"20,957 ratings","4,982 reviews",Baby Teeth,https://www.goodreads.com/book/show/35410511-baby-teeth?from_choice=true
162,Dacre Stoker,4.06,"3,847 ratings",770 reviews,Dracul,https://www.goodreads.com/book/show/38363799-dracul?from_choice=true
163,Anne Rice,3.78,"2,388 ratings",392 reviews,The Passion of Cleopatra,https://www.goodreads.com/book/show/34449265-the-passion-of-cleopatra?from_choice=true
164,John Connolly,4.20,"4,160 ratings",495 reviews,The Woman in the Woods,https://www.goodreads.com/book/show/36373398-the-woman-in-the-woods?from_choice=true
165,Paul Tremblay,3.32,"16,386 ratings","3,109 reviews",The Cabin at the End of the World,https://www.goodreads.com/book/show/36381091-the-cabin-at-the-end-of-the-world?from_choice=true
166,Darcy Coates,4.02,"5,603 ratings",653 reviews,Craven Manor,https://www.goodreads.com/book/show/37824221-craven-manor?from_choice=true
167,Alma Katsu,3.65,"6,860 ratings","1,277 reviews",The Hunger,https://www.goodreads.com/book/show/30285766-the-hunger?from_choice=true
168,Grady Hendrix,3.96,"2,951 ratings",695 reviews,We Sold Our Souls,https://www.goodreads.com/book/show/39790706-we-sold-our-souls?from_choice=true
169,Stephen King,3.53,"2,233 ratings",412 reviews,Flight or Fright: 17 Turbulent Tales,https://www.goodreads.com/book/show/39217966-flight-or-fright?from_choice=true
170,Michael Rutger,3.81,"5,299 ratings",978 reviews,The Anomaly,https://www.goodreads.com/book/show/36342156-the-anomaly?from_choice=true
171,Mallory Ortberg,3.36,"4,050 ratings",815 reviews,The Merry Spinster: Tales of Everyday Horror,https://www.goodreads.com/book/show/35035160-the-merry-spinster?from_choice=true
172,Iain Reid,3.68,"3,976 ratings",940 reviews,Foe,https://www.goodreads.com/book/show/37510662-foe?from_choice=true
173,Darcy Coates,4.10,"2,428 ratings",325 reviews,The Carrow Haunt,https://www.goodreads.com/book/show/39707880-the-carrow-haunt?from_choice=true
174,Dot Hutchison,4.31,"9,638 ratings",795 reviews,The Summer Children,https://www.goodreads.com/book/show/35655156-the-summer-children?from_choice=true
175,Jonathan Janz,4.04,463 ratings,211 reviews,The Siren and the Specter,https://www.goodreads.com/book/show/38608066-the-siren-and-the-specter?from_choice=true
176,Peter Meredith,4.25,715 ratings,89 reviews,Generation Z,https://www.goodreads.com/book/show/38392331-generation-z?from_choice=true
177,Ezekiel Boone,3.69,"1,288 ratings",278 reviews,Zero Day,https://www.goodreads.com/book/show/35297544-zero-day?from_choice=true
178,Ellen Datlow,3.57,299 ratings,62 reviews,The Devil and the Deep,https://www.goodreads.com/book/show/36049101-the-devil-and-the-deep?from_choice=true
179,Charles Stross,4.18,"2,196 ratings",185 reviews,The Labyrinth Index,https://www.goodreads.com/book/show/36694914-the-labyrinth-index?from_choice=true
180,Stephen King,3.70,"43,436 ratings","6,320 reviews",Elevation,https://www.goodreads.com/book/show/38355410-elevation?from_choice=true
181,Zoje Stage,3.65,"20,957 ratings","4,982 reviews",Baby Teeth,https://www.goodreads.com/book/show/35410511-baby-teeth?from_choice=true
182,Dacre Stoker,4.06,"3,847 ratings",770 reviews,Dracul,https://www.goodreads.com/book/show/38363799-dracul?from_choice=true
183,Anne Rice,3.78,"2,388 ratings",392 reviews,The Passion of Cleopatra,https://www.goodreads.com/book/show/34449265-the-passion-of-cleopatra?from_choice=true
184,John Connolly,4.20,"4,160 ratings",495 reviews,The Woman in the Woods,https://www.goodreads.com/book/show/36373398-the-woman-in-the-woods?from_choice=true
185,Paul Tremblay,3.32,"16,386 ratings","3,109 reviews",The Cabin at the End of the World,https://www.goodreads.com/book/show/36381091-the-cabin-at-the-end-of-the-world?from_choice=true
186,Darcy Coates,4.02,"5,603 ratings",653 reviews,Craven Manor,https://www.goodreads.com/book/show/37824221-craven-manor?from_choice=true
